"","S","E","Ia","Is","R","ReD","V"
"41.3",2.95835642516722,0,0,9.2794936030699,87.7621499717629,0,0
"41.4",2.94744405407503,0,0,9.19801897641863,87.8545369695063,0,0
"41.5",2.93666724162168,0,0,9.11722015440633,87.946112603972,0,0
"41.6",2.9260240057294,0,0,9.03709238483613,88.0368836094344,0,0
"41.7",2.91551239858428,0,0,8.95763092870375,88.1268566727119,0,0
"41.8",2.90513050595405,0,0,8.87883106074508,88.2160384333008,0,0
"41.9",2.89487644652096,0,0,8.80068806996322,88.3044354835158,0,0
"42",2.88474837122939,0,0,8.72319726013565,88.3920543686349,0,0
"42.1",2.87474446264782,0,0,8.64635395030208,88.4789015870501,0,0
"42.2",2.86486293434492,0,0,8.57015347523333,88.5649835904217,0,0
"42.3",2.85510203027927,0,0,8.49459118588208,88.6503067838386,0,0
"42.4",2.84546002420255,0,0,8.41966244981567,88.7348775259817,0,0
"42.5",2.8359352190757,0,0,8.34536265163167,88.8187021292926,0,0
"42.6",2.82652594649796,0,0,8.27168719335658,88.9017868601454,0,0
"42.7",2.81723056614825,0,0,8.19863149482818,88.9841379390235,0,0
"42.8",2.80804746523883,0,0,8.126190994062,89.0657615406991,0,0
"42.9",2.79897505798072,0,0,8.05436114760222,89.146663794417,0,0
"43",2.79001178506082,0,0,7.9831374308577,89.2268507840814,0,0
"43.1",2.78115611313032,0,0,7.91251533842326,89.3063285484464,0,0
"43.2",2.77240653430414,0,0,7.84249038438679,89.385103081309,0,0
"43.3",2.76376156567119,0,0,7.77305810262265,89.4631803317061,0,0
"43.4",2.75521974881522,0,0,7.70421404707148,89.5405662041132,0,0
"43.5",2.74677964934592,0,0,7.63595379200715,89.6172665586468,0,0
"43.6",2.73843985644006,0,0,7.56827293229098,89.6932872112689,0,0
"43.7",2.73019898239255,0,0,7.50116708361358,89.7686339339938,0,0
"43.8",2.72205566217698,0,0,7.43463188272486,89.8433124550981,0,0
"43.9",2.71400855301563,0,0,7.36866298765233,89.917328459332,0,0
"44",2.70605633395859,0,0,7.30325607790819,89.9906875881332,0,0
"44.1",2.6981977054718,0,0,7.23840685468536,90.0633954398428,0,0
"44.2",2.69043138903389,0,0,7.17411104104302,90.135457569923,0,0
"44.3",2.68275612674152,0,0,7.11036438208166,90.2068794911768,0,0
"44.4",2.67517068092302,0,0,7.04716264510813,90.2776666739688,0,0
"44.5",2.66767383376026,0,0,6.98450161979107,90.3478245464486,0,0
"44.6",2.66026438691841,0,0,6.92237711830666,90.4173584947749,0,0
"44.7",2.65294116118348,0,0,6.8607849754754,90.4862738633411,0,0
"44.8",2.64570299610752,0,0,6.79972104888977,90.5545759550027,0,0
"44.9",2.63854874966113,0,0,6.73918121903342,90.6222700313054,0,0
"45",2.63147729789334,0,0,6.6791613893918,90.6893613127148,0,0
"45.1",2.6244875345985,0,0,6.61965748655478,90.7558549788467,0,0
"45.2",2.61757837099012,0,0,6.5606654603112,90.8217561686986,0,0
"45.3",2.61074873538149,0,0,6.50218128373594,90.8870699808825,0,0
"45.4",2.60399757287287,0,0,6.44420095326931,90.9518014738578,0,0
"45.5",2.59732384504524,0,0,6.38672048878946,91.0159556661652,0,0
"45.6",2.5907265296602,0,0,6.32973593367758,91.0795375366621,0,0
"45.7",2.58420462036626,0,0,6.27324335487647,91.1425520247572,0,0
"45.8",2.57775712641096,0,0,6.21723884294237,91.2050040306466,0,0
"45.9",2.57138307235903,0,0,6.16171851209055,91.2668984155504,0,0
"46",2.56508149781626,0,0,6.10667850023458,91.3282400019491,0,0
"46.1",2.55885145715898,0,0,6.05211496901975,91.3890335738212,0,0
"46.2",2.55269201926913,0,0,5.99802410385047,91.4492838768803,0,0
"46.3",2.54660226727465,0,0,5.94440211391227,91.508995618813,0,0
"46.4",2.54058129829515,0,0,5.89124523218814,91.5681734695167,0,0
"46.5",2.53462822319273,0,0,5.83854971546972,91.6268220613375,0,0
"46.6",2.52874216632787,0,0,5.7863118443633,91.6849459893088,0,0
"46.7",2.52292226532017,0,0,5.73452792329089,91.7425498113889,0,0
"46.8",2.51716767081396,0,0,5.68319428048648,91.7996380486995,0,0
"46.9",2.51147754624863,0,0,5.63230726798766,91.8562151857637,0,0
"47",2.50585106763348,0,0,5.58186326162274,91.9122856707437,0,0
"47.1",2.50028742332715,0,0,5.53185866099354,91.9678539156793,0,0
"47.2",2.49478581382143,0,0,5.48228988945392,92.0229242967246,0,0
"47.3",2.48934545152935,0,0,5.43315339408433,92.0775011543863,0,0
"47.4",2.48396556057751,0,0,5.3844456456623,92.1315887937602,0,0
"47.5",2.47864537660249,0,0,5.33616313862927,92.1851914847682,0,0
"47.6",2.47338414655135,0,0,5.28830239105363,92.238313462395,0,0
"47.7",2.46818112848601,0,0,5.24085994459026,92.2909589269237,0,0
